Id,Name,Description,Price,ImageUrl,IsActive,CategoryId,CreatedAt,UpdatedAt
1,Classic Beef Burger,A juicy beef patty with lettuce tomato and cheese on a brioche bun.,9.99,https://foodposimgs.blob.core.windows.net/imgs/1-classic-beef-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
2,Spicy Chicken Burger,Crispy chicken fillet with spicy mayo jalapeños and fresh coleslaw.,10.49,https://foodposimgs.blob.core.windows.net/imgs/2-spicy-chicken-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
3,Veggie Burger,A plant-based patty with avocado sprouts and vegan aioli.,8.99,https://foodposimgs.blob.core.windows.net/imgs/3-veggie-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
4,Double Cheeseburger,Two beef patties with double cheese pickles onions and ketchup.,11.99,https://foodposimgs.blob.core.windows.net/imgs/4-double-chesse-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
5,Bacon & Egg Burger,Grilled bacon a fried egg and melted cheddar on a toasted bun.,12.99,https://foodposimgs.blob.core.windows.net/imgs/5-bacon-egg-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
6,Mushroom Swiss Burger,Sautéed mushrooms and Swiss cheese over a ground beef patty.,10.99,https://foodposimgs.blob.core.windows.net/imgs/6-mushroom-swiss-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
7,BBQ Pulled Pork Burger,Slow-cooked pulled pork in BBQ sauce with coleslaw.,11.50,https://foodposimgs.blob.core.windows.net/imgs/7-bbq-pulled-pork-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
8,Hawaiian Burger,Beef patty topped with grilled pineapple bacon and teriyaki sauce.,13.50,https://foodposimgs.blob.core.windows.net/imgs/8-hawaiian-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
9,Turkey Burger,Lean turkey patty with cranberry aioli and lettuce.,9.50,https://foodposimgs.blob.core.windows.net/imgs/9-turkey-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
10,Smoked Gouda Burger,Beef patty with smoked gouda cheese crispy onions and a special sauce.,12.25,https://foodposimgs.blob.core.windows.net/imgs/10-smoked-gouda-burger.png,true,1,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
11,Beef Barbacoa Tacos,Slow-cooked beef barbacoa with cilantro and onions on corn tortillas.,12.50,https://foodposimgs.blob.core.windows.net/imgs/11-beef-barbacoa-tacos.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
12,Spicy Shrimp Tacos,Sautéed shrimp with a chili-lime sauce and a hint of cilantro.,13.75,https://foodposimgs.blob.core.windows.net/imgs/12-spicy-shrimp-tacos.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
13,Fish Tacos,Grilled white fish with cabbage slaw pico de gallo and a creamy chipotle sauce.,14.00,https://foodposimgs.blob.core.windows.net/imgs/13-fish-tacos.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
14,Carne Asada Tacos,Grilled steak finely chopped and served with guacamole and pico de gallo.,13.00,https://foodposimgs.blob.core.windows.net/imgs/14-carne-asada-tacos.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
15,Al Pastor Tacos,Marinated pork tacos with grilled pineapple onions and cilantro.,12.75,https://foodposimgs.blob.core.windows.net/imgs/15-al-pastor-tacos.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
16,Chicken Tinga Tacos,Shredded chicken in a smoky chipotle tomato sauce.,11.50,https://foodposimgs.blob.core.windows.net/imgs/16-chicken-tinga-tacos.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
17,Mushroom Tacos,Sautéed mushrooms and bell peppers with feta cheese.,10.99,https://foodposimgs.blob.core.windows.net/imgs/17-mushroom-tacos.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
18,Taco de Pescado Baja,Crispy battered fish spicy mayo and cabbage slaw.,14.25,https://foodposimgs.blob.core.windows.net/imgs/18-taco-de-pescado-baja.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
19,Taco de Chorizo,Spicy Mexican sausage with diced onions and cilantro.,11.25,https://foodposimgs.blob.core.windows.net/imgs/19-taco-de-chorizo.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
20,Taco de Nopales,Grilled cactus paddles with roasted corn and a touch of lime.,10.50,https://foodposimgs.blob.core.windows.net/imgs/20-taco-de-nopales.png,true,2,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
21,Chicken Fajita Wrap,Grilled chicken peppers and onions with melted cheese in a flour tortilla.,11.99,https://foodposimgs.blob.core.windows.net/imgs/21-chicken-fajita-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
22,Falafel Hummus Wrap,Crispy falafel creamy hummus and fresh vegetables in a wrap.,10.50,https://foodposimgs.blob.core.windows.net/imgs/22-falafel-hummus-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
23,Grilled Chicken Salad Wrap,Grilled chicken mixed greens cherry tomatoes and balsamic glaze in a whole wheat wrap.,12.25,https://foodposimgs.blob.core.windows.net/imgs/23-grilled-chicken-salad-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
24,Steak & Cheese Wrap,Thinly sliced steak with grilled onions and provolone cheese.,13.50,https://foodposimgs.blob.core.windows.net/imgs/24-steak-cheese-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
25,Spicy Black Bean Wrap,Black beans corn salsa avocado and a spicy ranch dressing.,10.75,https://foodposimgs.blob.core.windows.net/imgs/25-spicy-black-bean-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
26,Mediterranean Veggie Wrap,Cucumbers tomatoes olives red onions and feta cheese with tzatziki sauce.,11.25,https://foodposimgs.blob.core.windows.net/imgs/26-mediterranean-veggie-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
27,Turkey Club Wrap,Sliced turkey bacon lettuce tomato and mayo.,12.50,https://foodposimgs.blob.core.windows.net/imgs/27-turkey-club-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
28,Buffalo Chicken Wrap,Crispy chicken tossed in buffalo sauce with lettuce and blue cheese dressing.,11.99,https://foodposimgs.blob.core.windows.net/imgs/28-buffalo-chicken-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
29,Caesar Chicken Wrap,Grilled chicken romaine lettuce parmesan cheese and Caesar dressing.,11.75,https://foodposimgs.blob.core.windows.net/imgs/29-caesar-chicken-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
30,Tuna Salad Wrap,Classic tuna salad with fresh celery and mayo.,10.99,https://foodposimgs.blob.core.windows.net/imgs/30-tuna-salad-wrap.png,true,3,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
31,Chocolate Lava Cake,Warm chocolate cake with a molten center served with vanilla ice cream.,6.99,https://foodposimgs.blob.core.windows.net/imgs/31-lava-cake.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
32,New York Cheesecake,A classic creamy cheesecake with a graham cracker crust.,7.50,https://foodposimgs.blob.core.windows.net/imgs/32-cheesecake.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
33,Apple Pie,A slice of warm apple pie with a flaky crust and cinnamon.,6.50,https://foodposimgs.blob.core.windows.net/imgs/33-apple-pie.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
34,Brownie Sundae,A warm chocolate brownie topped with ice cream chocolate syrup and whipped cream.,8.50,https://foodposimgs.blob.core.windows.net/imgs/34-brownie-sundae.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
35,Tiramisu,Layers of coffee-soaked ladyfingers and mascarpone cheese.,7.99,https://foodposimgs.blob.core.windows.net/imgs/35-tiramisu.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
36,Crème Brûlée,Creamy vanilla custard with a crispy caramelized sugar topping.,7.25,https://foodposimgs.blob.core.windows.net/imgs/36-creme-brulee.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
37,Key Lime Pie,A tart and sweet pie with a graham cracker crust.,6.75,https://foodposimgs.blob.core.windows.net/imgs/37-key-lime-pie.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
38,Red Velvet Cake,Moist red velvet cake with cream cheese frosting.,7.00,https://foodposimgs.blob.core.windows.net/imgs/38-red-velvet-cake.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
39,Chocolate Chip Cookies,Two large fresh-baked chocolate chip cookies.,4.50,https://foodposimgs.blob.core.windows.net/imgs/39-cookies.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
40,Ice Cream Scoop,One scoop of your choice of vanilla chocolate or strawberry ice cream.,3.00,https://foodposimgs.blob.core.windows.net/imgs/40-ice-cream-scoop.png,true,4,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
41,Strawberry Milkshake,A rich and creamy milkshake made with fresh strawberries.,5.50,https://foodposimgs.blob.core.windows.net/imgs/41-strawberry-shake.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
42,Iced Coffee,Freshly brewed iced coffee with a shot of caramel.,4.25,https://foodposimgs.blob.core.windows.net/imgs/42-iced-coffee.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
43,Water Bottle,A 500ml bottle of purified water.,2.00,https://foodposimgs.blob.core.windows.net/imgs/43-water-bottle.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
44,Lemonade,Freshly squeezed lemonade.,3.50,https://foodposimgs.blob.core.windows.net/imgs/44-lemonade.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
45,Hot Tea,A selection of black green or herbal teas.,2.50,https://foodposimgs.blob.core.windows.net/imgs/45-hot-tea.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
46,Orange Juice,Freshly squeezed orange juice.,4.00,https://foodposimgs.blob.core.windows.net/imgs/46-orange-juice.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
47,Coca-Cola,A classic bottle of Coca-Cola.,3.00,https://foodposimgs.blob.core.windows.net/imgs/47-coca-cola.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
48,Smoothie,A blend of mixed berries banana and yogurt.,6.50,https://foodposimgs.blob.core.windows.net/imgs/48-smoothie.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
49,Sparkling Water,A bottle of sparkling mineral water.,3.25,https://foodposimgs.blob.core.windows.net/imgs/49-sparkling-water.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
50,Hot Chocolate,Rich and creamy hot chocolate topped with marshmallows.,4.75,https://foodposimgs.blob.core.windows.net/imgs/50-hot-chocolate.png,true,5,2025-09-12T17:40:02Z,2025-09-12T17:40:02Z
